episode,return,average_return,lines_cleared
1,-104.0,-104.0,0
2,-110.0,-107.0,0
3,-107.5,-107.16666666666667,1
4,-110.5,-108.0,1
5,-111.5,-108.7,0
6,-158.0,-116.91666666666667,0
7,-114.5,-116.57142857142857,0
1,-97.0,-97.0,1
2,-152.0,-124.5,0
3,-87.5,-112.16666666666667,0
4,-119.0,-113.875,0
5,-120.5,-115.2,0
6,-133.0,-118.16666666666667,1
7,-125.0,-119.14285714285714,0
8,-139.0,-121.625,1
9,-95.0,-118.66666666666667,0
10,-99.5,-116.75,0
11,-85.0,-113.86363636363636,1
12,-75.5,-110.66666666666667,0
13,-131.0,-112.23076923076923,0
14,-107.5,-111.89285714285714,1
15,-116.0,-112.16666666666667,0
16,-116.0,-112.40625,0
17,-122.5,-113.0,1
18,-107.5,-112.69444444444444,1
19,-86.0,-111.28947368421052,0
20,-95.5,-110.5,1
21,-66.5,-108.4047619047619,0
22,-105.5,-108.27272727272727,0
23,-135.5,-109.45652173913044,0
24,-104.0,-109.22916666666667,0
25,-131.0,-110.1,0
26,-84.5,-109.11538461538461,0
27,-113.0,-109.25925925925925,0
28,-150.5,-110.73214285714286,0
29,-110.0,-110.70689655172414,0
30,-72.5,-109.43333333333334,0
31,-83.0,-108.58064516129032,0
32,-110.0,-108.625,0
33,-108.5,-108.62121212121212,0
34,-105.5,-108.52941176470588,0
35,-80.0,-107.71428571428571,0
36,-99.5,-107.48611111111111,0
37,-93.5,-107.10810810810811,0
38,-86.0,-106.55263157894737,0
39,-102.5,-106.44871794871794,0
40,-122.0,-106.8375,0
41,-88.0,-106.3780487804878,1
42,-125.0,-106.82142857142857,0
43,-126.5,-107.27906976744185,0
44,-129.5,-107.7840909090909,0
45,-105.5,-107.73333333333333,0
46,-164.0,-108.95652173913044,0
47,-89.0,-108.53191489361703,0
48,-77.0,-107.875,0
49,-104.0,-107.79591836734694,0
50,-120.5,-108.05,0
51,-96.5,-107.82352941176471,0
52,-65.5,-107.00961538461539,1
53,-89.0,-106.66981132075472,0
54,-63.5,-105.87037037037037,0
55,-82.0,-105.43636363636364,1
56,-52.0,-104.48214285714286,1
57,-81.5,-104.07894736842105,0
58,-77.5,-103.62068965517241,1
59,-48.5,-102.6864406779661,0
60,-63.5,-102.03333333333333,0
61,-65.0,-101.42622950819673,0
62,-95.5,-101.33064516129032,1
63,-123.5,-101.68253968253968,0
64,-92.0,-101.53125,0
65,-129.5,-101.96153846153847,0
66,-59.0,-101.31060606060606,0
67,-122.0,-101.61940298507463,0
68,-71.0,-101.16911764705883,0
69,-120.5,-101.44927536231884,0
70,-95.0,-101.35714285714286,0
71,-114.5,-101.54225352112677,0
72,-131.0,-101.95138888888889,0
73,-122.0,-102.22602739726027,0
74,-96.5,-102.14864864864865,0
75,-60.5,-101.59333333333333,0
76,-87.5,-101.40789473684211,0
77,-123.5,-101.6948051948052,0
78,-146.0,-102.26282051282051,0
79,-150.5,-102.87341772151899,0
80,-155.0,-103.525,0
81,-99.5,-103.4753086419753,0
82,-117.5,-103.64634146341463,0
83,-132.5,-103.99397590361446,0
84,-110.0,-104.06547619047619,0
85,-128.5,-104.3529411764706,1
86,-92.0,-104.20930232558139,0
87,-150.5,-104.74137931034483,0
88,-87.5,-104.54545454545455,0
89,-111.5,-104.62359550561797,0
90,-92.0,-104.48333333333333,0
91,-51.5,-103.9010989010989,0
92,-104.0,-103.90217391304348,0
93,-134.0,-104.2258064516129,0
94,-136.0,-104.56382978723404,1
95,-116.0,-104.6842105263158,0
96,-129.5,-104.94270833333333,0
97,-102.5,-104.91752577319588,0
98,-63.5,-104.49489795918367,0
99,-77.0,-104.21717171717172,0
100,-131.0,-104.485,0
101,-65.0,-104.0940594059406,0
102,-99.5,-104.04901960784314,0
103,-119.0,-104.19417475728156,0
104,-120.5,-104.35096153846153,0
105,-122.0,-104.51904761904763,0
106,-87.5,-104.35849056603773,0
107,-98.0,-104.29906542056075,0
108,-129.5,-104.5324074074074,0
109,-128.0,-104.74770642201835,0
110,-119.0,-104.87727272727273,0
111,-143.0,-105.22072072072072,0
112,-101.0,-105.18303571428571,0
113,-77.0,-104.93362831858407,0
114,-179.5,-105.58771929824562,1
115,-95.5,-105.5,1
116,-137.0,-105.77155172413794,0
117,-110.0,-105.8076923076923,0
118,-143.5,-106.12711864406779,1
119,-116.0,-106.21008403361344,0
120,-132.5,-106.42916666666666,0
121,-74.0,-106.16115702479338,0
122,-141.5,-106.45081967213115,0
123,-71.5,-106.16666666666667,1
124,-138.5,-106.4274193548387,0
125,-138.5,-106.684,0
126,-86.0,-106.51984126984127,0
127,-98.5,-106.45669291338582,1
128,-86.0,-106.296875,0
129,-147.5,-106.61627906976744,0
130,-140.5,-106.87692307692308,1
131,-83.0,-106.69465648854961,0
132,-137.0,-106.92424242424242,0
133,-68.0,-106.63157894736842,0
134,-78.5,-106.42164179104478,0
135,-111.5,-106.45925925925926,0
136,-102.5,-106.43014705882354,0
137,-69.5,-106.16058394160584,0
138,-90.5,-106.04710144927536,0
139,-101.0,-106.01079136690647,0
140,-116.0,-106.08214285714286,0
141,-71.5,-105.83687943262412,1
142,-105.5,-105.83450704225352,0
143,-96.5,-105.76923076923077,0
144,-101.0,-105.73611111111111,0
145,-162.5,-106.12758620689655,0
146,-113.0,-106.17465753424658,0
147,-117.5,-106.25170068027211,0
148,-108.5,-106.26689189189189,0
149,-126.5,-106.40268456375838,0
150,-98.0,-106.34666666666666,0
151,-96.5,-106.28145695364239,0
152,-101.0,-106.2467105263158,0
153,-134.5,-106.43137254901961,1
154,-120.5,-106.52272727272727,0
155,-104.0,-106.50645161290322,0
156,-86.0,-106.375,0
157,-104.0,-106.35987261146497,0
158,-119.0,-106.43987341772151,0
