episode,return,average_return
1001,-602.5,-602.5
1002,-602.5,-602.5
1003,-602.5,-602.5
1004,-673.0,-620.125
1005,-628.0,-621.7
1006,-523.0,-605.25
1007,-539.5,-595.8571428571429
1008,-694.0,-608.125
1009,-539.5,-600.5
1010,-545.5,-595.0
1011,-539.5,-589.9545454545455
1012,-901.0,-615.875
1013,-674.5,-620.3846153846154
1014,-616.0,-620.0714285714286
1015,-697.0,-625.2
1016,-568.0,-621.625
1017,-548.5,-617.3235294117648
1018,-599.5,-616.3333333333334
1019,-1864.0,-682.0
1020,-878.5,-691.825
1021,-955.0,-704.3571428571429
1022,-676.0,-703.0681818181819
1023,-638.5,-700.2608695652174
1024,-617.5,-696.8125
1025,-545.5,-690.76
1026,-545.5,-685.1730769230769
1027,-548.5,-680.1111111111111
1028,-545.5,-675.3035714285714
1029,-548.5,-670.9310344827586
1030,-548.5,-666.85
1031,-1114.0,-681.2741935483871
1032,-523.0,-676.328125
1033,-685.0,-676.5909090909091
1034,-653.5,-675.9117647058823
1035,-766.0,-678.4857142857143
1036,-638.5,-677.375
1037,-758.5,-679.5675675675676
1038,-539.5,-675.8815789473684
1039,-539.5,-672.3846153846154
1040,-605.5,-670.7125
1041,-539.5,-667.5121951219512
1042,-709.0,-668.5
1043,-523.0,-665.1162790697674
1044,-607.0,-663.7954545454545
1045,-874.0,-668.4666666666667
1046,-668.5,-668.4673913043479
1047,-620.5,-667.4468085106383
1048,-523.0,-664.4375
1049,-523.0,-661.5510204081633
1050,-901.0,-666.34
1051,-523.0,-663.5294117647059
1052,-640.0,-663.0769230769231
1053,-557.5,-661.0849056603773
1054,-601.0,-659.9722222222222
1055,-526.0,-657.5363636363636
1056,-523.0,-655.1339285714286
1057,-500.5,-652.421052631579
1058,-523.0,-650.1896551724138
1059,-596.5,-649.2796610169491
1060,-500.5,-646.8
1061,-700.0,-647.672131147541
1062,-523.0,-645.6612903225806
1063,-523.0,-643.7142857142857
1064,-526.0,-641.875
1065,-523.0,-640.0461538461539
1066,-523.0,-638.2727272727273
1067,-631.0,-638.1641791044776
1068,-487.0,-635.9411764705883
1069,-731.5,-637.3260869565217
1070,-583.0,-636.55
1071,-674.5,-637.0845070422536
1072,-571.0,-636.1666666666666
1073,-500.5,-634.3082191780821
1074,-500.5,-632.5
1075,-500.5,-630.74
1076,-500.5,-629.0263157894736
1077,-610.0,-628.7792207792207
1078,-500.5,-627.1346153846154
1079,-598.0,-626.7658227848101
1080,-598.0,-626.40625
1081,-598.0,-626.0555555555555
1082,-529.0,-624.8719512195122
1083,-500.5,-623.3734939759037
1084,-500.5,-621.9107142857143
1085,-500.5,-620.4823529411765
1086,-500.5,-619.0872093023256
1087,-500.5,-617.7241379310345
1088,-500.5,-616.3920454545455
1089,-500.5,-615.0898876404494
1090,-500.5,-613.8166666666667
1091,-565.0,-613.2802197802198
1092,-500.5,-612.054347826087
1093,-551.5,-611.4032258064516
1094,-500.5,-610.2234042553191
1095,-500.5,-609.0684210526316
1096,-850.0,-611.578125
1097,-500.5,-610.4329896907217
1098,-500.5,-609.3112244897959
1099,-565.0,-608.8636363636364
1100,-500.5,-607.78
1101,-566.5,-607.3712871287129
1102,-500.5,-606.3235294117648
1103,-500.5,-605.2961165048544
1104,-500.5,-604.2884615384615
1105,-500.5,-603.3
1106,-500.5,-602.3301886792453
1107,-500.5,-601.3785046728972
1108,-500.5,-600.4444444444445
1109,-592.0,-600.3669724770642
1110,-500.5,-599.459090909091
1111,-782.5,-601.1081081081081
1112,-578.5,-600.90625
1113,-500.5,-600.0176991150443
1114,-500.5,-599.1447368421053
1115,-545.5,-598.6782608695652
1116,-500.5,-597.8318965517242
1117,-553.0,-597.4487179487179
1118,-500.5,-596.6271186440678
1119,-563.5,-596.3487394957983
1120,-500.5,-595.55
1121,-500.5,-594.7644628099174
1122,-716.5,-595.7622950819672
1123,-608.5,-595.8658536585366
1124,-688.0,-596.608870967742
1125,-500.5,-595.84
